Cassette: ,300mm Blanket,,,
COLLECTION DATE/TIME: ,1/1/2016 10:33,,,
PROCESS DATE/TIME: ,220/0/2000  10:32:0,,,
EQUIPMENT: ,,,,
OPERATOR: ,operator,,,
SHIFT: ,,,,
MACHINE TYPE: ,KLA,,,
,,,,
,,,,
,,,,
WAFER ID,Slot01,,,
LOT ID,pre,,,
Cassette,Right,,,
SLOT,1,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native Oxide on Silicon,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
1,11.0993,0.9916,0,0
2,11.1497,0.9913,-0.0001,49
3,11.199,0.9916,-34.6483,34.648
4,11.2735,0.9914,-49,-0.0001
5,11.2933,0.9912,-34.648,-34.6483
6,11.2874,0.992,0.0001,-49
7,11.2351,0.9911,34.6483,-34.648
8,11.1563,0.9912,49,0.0001
9,11.1626,0.9913,34.648,34.6483
10,11.3305,0.991,-0.0003,98
11,11.2369,0.9917,-37.5034,90.5401
12,11.1944,0.9917,-69.2967,69.2962
13,11.2872,0.9916,-90.5404,37.5026
14,11.3559,0.9912,-98,-0.0004
15,11.2817,0.9914,-90.5401,-37.5034
16,11.3501,0.9912,-69.2962,-69.2967
17,11.3437,0.9913,-37.5026,-90.5404
18,11.5146,0.9896,0.0004,-98
19,11.288,0.991,37.5034,-90.5401
20,11.296,0.991,69.2968,-69.2962
21,11.2337,0.9913,90.5404,-37.5026
22,11.2108,0.9914,98,0.0004
23,11.2555,0.9912,90.5401,37.5034
24,11.1799,0.9915,69.2961,69.2968
25,11.7269,0.9896,37.5026,90.5404
26,11.5548,0.9914,-0.0006,147
27,11.6507,0.9918,-38.047,141.991
28,11.6079,0.9917,-73.5004,127.3055
29,11.5506,0.9917,-103.945,103.9443
30,11.6705,0.9916,-127.306,73.4996
31,11.6924,0.9916,-141.9913,38.0458
32,11.772,0.9914,-147,-0.0006
33,11.7803,0.9913,-141.991,-38.047
34,11.8563,0.991,-127.3054,-73.5004
35,11.789,0.9913,-103.9443,-103.9452
36,11.9361,0.9911,-73.4994,-127.306
37,12.2614,0.9909,-38.0458,-141.9913
38,12.3593,0.9909,0.0006,-147
39,12.1331,0.9909,38.047,-141.991
40,11.7745,0.9909,73.5006,-127.3054
41,11.7061,0.991,103.9452,-103.9443
42,11.6825,0.9912,127.3061,-73.4994
43,11.6212,0.9913,141.9913,-38.0458
44,11.6647,0.9913,147,0.0006
45,11.6425,0.9913,141.991,38.047
46,11.7104,0.9915,127.3054,73.5006
47,11.6446,0.9913,103.9443,103.9452
48,11.6365,0.9916,73.4994,127.3061
49,11.5559,0.9908,38.0458,141.9913
,,,,
WAFER ID,Slot05,,,
LOT ID,pre,,,
Cassette,Right,,,
SLOT,5,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native Oxide on Silicon,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
MEAN,11.5338,0.9912,,
MIN,11.1305,0.9894,,
MAX,12.4119,0.992,,
% STDDEV,2.665,0.0446,,
STDDEV,0.3074,0.0004,,
3 % STDDEV,7.9949,0.1337,,
3 STDDEV,0.9221,0.0013,,
RANGE,1.2813,0.0025,,
Site #,Value,Value, X , Y 
1,11.1305,0.9916,0,0
2,11.178,0.9912,-0.0001,49
3,11.2055,0.9916,-34.6483,34.648
4,11.2813,0.9914,-49,-0.0001
5,11.3208,0.9912,-34.648,-34.6483
6,11.3265,0.992,0.0001,-49
7,11.2748,0.9912,34.6483,-34.648
8,11.1725,0.9913,49,0.0001
9,11.1416,0.9912,34.648,34.6483
10,11.3386,0.991,-0.0003,98
11,11.2258,0.9917,-37.5034,90.5401
12,11.2152,0.9917,-69.2967,69.2962
13,11.2814,0.9916,-90.5404,37.5026
14,11.3375,0.9913,-98,-0.0004
15,11.2947,0.9914,-90.5401,-37.5034
16,11.3915,0.9912,-69.2962,-69.2967
17,11.3698,0.9913,-37.5026,-90.5404
18,11.5309,0.9897,0.0004,-98
19,11.3105,0.9909,37.5034,-90.5401
20,11.3271,0.9911,69.2968,-69.2962
21,11.2674,0.9913,90.5404,-37.5026
22,11.236,0.9915,98,0.0004
23,11.2434,0.9912,90.5401,37.5034
24,11.1903,0.9915,69.2961,69.2968
25,11.718,0.9894,37.5026,90.5404
26,11.5707,0.9914,-0.0006,147
27,11.6448,0.9918,-38.047,141.991
28,11.6137,0.9917,-73.5004,127.3055
29,11.5284,0.9917,-103.945,103.9443
30,11.7097,0.9916,-127.306,73.4996
31,11.6783,0.9915,-141.9913,38.0458
32,11.7599,0.9913,-147,-0.0006
33,11.8014,0.9913,-141.991,-38.047
34,11.9472,0.991,-127.3054,-73.5004
35,11.8549,0.9913,-103.9443,-103.9452
36,11.9774,0.991,-73.4994,-127.306
